feature,corr_with_target,max_inter_corr,score
return_accel,0.7199582752713002,0.7201946229535744,-0.00023634768227420722
return_ma3,0.5832514292650895,0.5837039905148789,-0.00045256124978931833
dow_sin,0.04618382222938499,0.04783001689545989,-0.0016461946660749002
log_return_l252,-0.041267025021124476,0.14359137374785816,-0.10232434872673368
month_sin,0.0300350410208771,0.14398160685527556,-0.11394656583439845
log_return_l10,-0.03716440371610195,0.17786268859901394,-0.140698284882912
log_return_l3,-0.07641316899615097,0.26043150640222584,-0.18401833740607487
rsi,0.33278990210205905,0.554264998618262,-0.2214750965162029
high_vol,-0.03972331991572448,0.3309702951840594,-0.29124697526833493
sentiment_l10,-0.03919149316400817,0.5268448672923447,-0.48765337412833654
log_return_l2,0.033068437194216746,0.5837039905148789,-0.5506355533206622
log_return_l1,-0.03702021521032269,0.7201946229535744,-0.6831744077432517
sentiment_l5,-0.07603337786976168,0.8775317610644217,-0.8014983831946599
sent_ma7,-0.04856638205597057,0.9355680561813614,-0.8870016741253909
sentiment,-0.03370058721625982,0.9393359693592528,-0.905635382142993
sentiment_l3,-0.02694840910926832,0.9355680561813614,-0.9086196470720931
ln_close,0.046112147494665384,0.9644390857478898,-0.9183269382532244
sentiment_l1,-0.03471866923984363,0.9692140265711503,-0.9344953573313066
Low,0.02505571732702076,0.9644390857478898,-0.9393833684208691
sent_ma3,-0.0289863092627863,0.9692140265711503,-0.940227717308364
